협력대학기관,연도,분야,연구ID,제목,참여학생,소속고등학교,지도교사,지도교수,연구요약,주제어
DGIST,2024,수학,자_1_수학_23,,김민성･이동윤･정진우,대구일과학고등학교,서혁민,강효상,"본 연구는 4차원 공간을 미로 프로그램의 형태로 구현함으로써 4차원의 개념에 대한 직관적인 이해를 도우는 방법을 찾는 것을 목적으로 한다. 본 연구에서는 4차원 공간을 4개의 3차원 공간 으로 사영한 인터페이스를 pygame을 통해 프로그래밍하였으며, 인터페이스에서는 사용자의 입력에 따라 좌표가 변화하며 1차원 미로 공간을 이동할 수 있다. 테서랙트의 하위 셀인 정육면체의 여섯 개 중 비로 구조에서 뚫려 있는 여부를 색으로 표현함으로써, 각 3차원 인터페이스에서 사용자가","4차원, pygame, 미로, 테서렉트"
DGIST,2024,물리,지_2_물리_75,,박재현･박지민･오승찬,경남과학고등학교,박호철,최승호,"근사를 이용하지 않으면 일반적으로 풀기 어려운 상황을 MATLAB을 이용한 시뮬레이션을 통해 분석하고, 이를 실제 실험 결과와 비교하여 고전역학에 대해 심도 있게 이해하고자 한다. MATLAB을 이용하여 공기저항이 존재하는 투사체 운동을 실제 실험 결과와 비교하여 분석하였 고, 태양 주변 행성의 라그랑주 점을 분석하였다.","고전역학, 매트랩, 투사체 운동, 공기저항, 행성 운동, 라그랑주 점"
DGIST,2024,화학,자_3_화학_29,금속유기구조체를 이용한 의약물질의 흡착,박유민･이강욱･이준우,대구일과학고등학교,정규한,박진희,"연구에서는 항염증제인 나프록센(Naproxen)을 효과적으로 흡착할 수 있는 금속-유기 구조체 (Metal-Organic Frameworks, MOFs)를 합성하고자 했다. MOFs는 금속 이온 또는 금속 클 러 스터와 유기 리간드가 결합하여 형성되는 다차원 구조체로, 넓은 비표면적과 조절 가능한 기공 크 기로 인해 다양한 응용 분야에서 주목받고 있다. 본 연구에서는 다양한 테레프탈산 유도체와 금속 이온을 조합하여 새로운 MOFs를 합성하고, 이들의 나프록센 흡착 성능을 평가하였다. 특히,","금속-유기 골격체, 다공성 물질, 나프록센, 흡착, 수질 정화"
DGIST,2024,화학,자_3_화학_81,폐의약품 잔류 수용액 정제를 위한 MOFs,구동호･이승채,충남과학고등학교,윤자민,남창훈,"정수처리 연구의 발전은 Zeolites와 활성탄을 대중적으로 부상시켰지만, 최근 금속-유기 골격체 (잔류의 약물질)로 오염된 수질을 정화하는 효율성을 평가하였으며, 산(-SO3H)과 염기 CHATMOF와 XRD 분석 결과, 세공크기가 가장 큰 –SO3H 작용기의 AMSA-MIL-101-Cr의 높은 효율을 예상하였으나 실제 결과 E D-MIL-101-Cr이 PPCPs 88.15~98.0%를 제거할 정도","MIL-101-Cr, AMSA-MIL-101-C r, ED-MIL-101-Cr, PPCPs(잔류의약물질),  세공 및"
DGIST,2024,화학,자_4_생물_57,구멍갈파래 바이오차의 냉각속도에 따른 이화학적 특성 분석 및 토양 염분 제거제로의,오지후･서보겸･박소현,창원과학고등학교,허영희,김성균,"기후변화로 인해 증식하며 여러 피해를 주고 있는 구멍갈파래를 열분해시켜 바이오차를 제작한 후 냉각 온도에 따른 이화학적 특성 비교를 위해 0℃, 25℃, 50℃, 75℃에서 냉각시킨 바이오차의 냉각 속도를 계산하고 표면 구조, 비표면적 크기, 수득률, pH, 원소 함량 비율을 측정하였다. 그 결과 표면 구조와 비표면적 크기, 수득률, pH의 변화는 0℃에서 냉각시킨 바이오차가 가장 우수 하였고, 원소 비율은 모든 바이오차에서 큰 차이가 없었다. 가장 성능이 우수한 0℃에서 냉각시","구멍갈파래, 바이오차, 냉각 속도, 공극 구조, 염분 제거제"
DGIST,2024,정보,지_7_공학_43,하베스팅 소자 개발 및 응용,권시후･김성재･박서준･안영민,대구과학고등학교,김성진,이주혁,"것을 목표로 한다. 압전 에너지 하베스팅은 기계적 에너지를 전기적 에너지로 변환하는 기술로, 다양한 진동, 충격, 압력 등 외부 자극을 통해 전기를 생산한다. 특히, FF(Phe-Phe) 나노튜브를 이용한 압전 소자의 자가조립 과정을 연구하였다. FF 나노튜브는 환경과 인체에 무해한 생체 압 전 소자로, 바이오 응용 분야에서의 에너지 문제 해결에 기여할 수 있다. 연구 과정에서는 HFIP와 FF의 용액을 다양한 농도로 제조하고, 이를 ITO 필름 위에 자가조립시","압전 소자, 에너지 하베스팅, 생체 재료, 나노튜브"
DGIST,2024,정보,지_7_공학_44,친환경 가소제를 이용한 신축성 소재 기반 마찰대전 에너지 하베스팅 소자 개발 및 응용,성정규･이민성･이위진･임강민,대전동신과학고등학교,손민욱,이주혁,"TENG)의 출력 성능과 내구성을 개선하기 위한 다양한 방안을 탐구하였다. DBA, DOA, Triethyl Citrate 순으로 성능이 우수한 것으로 나타났으며, 이는 가소제의 극성 차이와 분자 크 기 및 유연성에서 기인하는 것으로 분석되었다. 또한, 개발된 TENG를 키보드에 적용하여 실생활 에서의 활용 가능성을 검증하였다.","친환경 가소제, 마찰대전, TENG, PVC"
DGIST,2024,융합,자_8_융합_18,프롤린 아미노산에 의한 세포 투과성 펩타이드의 세포 내 투과 향상 메커니즘 연구,강효영･신민석･전지우,대구일과학고등학교,김충만,최승호,"세포 내 전달을 가능하게 하는 매개체로서 최근 주목받고 있다. 특히 프롤린(Proline) 아미노산이 CPP의 세포 투과성을 증가시키는 중요한 역할을 한다는 보고가 있지만, 그 구체적인 메커니즘은 아직 명확히 밝혀지지 않았다. 본 연구에서는 프롤린이 포함된 CPP가 세포막을 통과하는 과정과 그 효과를 분자 수준에서 분석하여, 프롤린이 세포 투과성에 미치는 영향을 규명하고자 한다. 연구를 통해 프롤린이 펩타이드의 구조적 유연성을 증가시키고, 이로 인해 CPP가 세포막과의 상","프롤린, 세포 투과성 펩타이드, 세포 내 투과성, 약물 전달, 구조적 유연성"
DGIST,2024,융합,지_8_융합_55,,강다연･김정우･김지환･차단비,대전동신과학고등학교,김해수,임용섭,"본 연구는 드론을 활용한 해변 익수 사고 예방 및 구조 시스템을 제안하고, 카메라 캘리브레이션 를 고려하여, 체커 보드 패턴을 이용한 캘리브레이션으로 내부 및 외부 파라미터를 추정하고, 왜곡 간으로 정확히 파악할 수 있으며, 구조 작업의 효율성을 크게 향상시킬 수 있음을 입증하였다.","드론 구조 시스템, 카메라 캘리브레이션, 익수 사고 예방, 위치 추정, 왜곡 보정"
DGIST,2024,융합,지_8_융합_56,,"본 연구에서는 AI 기술을 활용한 딥러닝을 활용한 주행 환경 인식, 주행 기반 기술인 객체 인식",대전동신과학고등학교,김해수,임용섭,"및 차선 인식 기술을 구현하였다. 자율주행 자동차는 자동차 충돌 사고, 공평한 이동권 제공을 위 을 구현하였다. 이를 실제 주행 영상에 적용해 기술의 작동 여부를 확인하고 문제점을 파악하였 다. 이를 통해 추후 실제 자율주행 시 적용가능함을 확인하였다. 고가의 라이다가 아닌 경제적인","딥러닝, AI, 객체인식, 차선인식, 자율주행"
